node_id,head,demand_x,longitude,latitude,elevation,demand_y,geometry,pressure
28975,0.0,0.0,-122.29059563595641,37.84111005139684,17.65,0.0,POINT (-122.2905956359564 37.84111005139684),-7.6498004484
28976,0.0,0.0,-122.29057783904246,37.84111843056922,17.73,0.0,POINT (-122.2905778390425 37.84111843056922),-7.68447376488
28995,0.0,0.0,-122.14891427337795,37.74303544166559,72.8,0.0,POINT (-122.148914273378 37.74303544166559),-31.552717996800002
28996,0.0,0.0,-122.14890663608541,37.743039998931934,72.8,0.0,POINT (-122.1489066360854 37.74303999893193),-31.552717996800002
28997,0.0,0.0,-122.28719512391741,37.86326755319834,72.89,0.0,POINT (-122.2871951239174 37.86326755319834),-31.59172547784
28998,0.0,0.0,-122.2873602044463,37.86324682143661,71.71,0.0,POINT (-122.2873602044463 37.86324682143661),-31.08029405976
29003,0.0,0.0,-122.36297496553448,37.92598634972557,11.21,0.0,POINT (-122.3629749655345 37.92598634972557),-4.858598471760001
29004,0.0,0.0,-122.36297501270252,37.92597692425212,11.21,0.0,POINT (-122.3629750127025 37.92597692425212),-4.858598471760001
29017,0.0,0.0,-122.28709216752144,37.863281638531376,72.57,0.0,POINT (-122.2870921675214 37.86328163853138),-31.45303221192
29018,0.0,0.0,-122.36297188743994,37.92657517626729,11.57,0.0,POINT (-122.3629718874399 37.92657517626729),-5.01462839592
29030,0.0,0.0,-122.28955895255608,37.799977893008474,9.6,0.0,POINT (-122.2895589525561 37.79997789300847),-4.160797977600001
29031,0.0,0.0,-122.289531517038,37.80005259551744,9.11,0.0,POINT (-122.289531517038 37.80005259551744),-3.9484239141599997
29033,0.0,0.0,-122.16741537814713,37.734485451494436,45.84,0.0,POINT (-122.1674153781471 37.73448545149444),-19.867810343040002
29034,0.0,0.0,-122.16740188878173,37.734489782708614,45.74,0.0,POINT (-122.1674018887817 37.73448978270861),-19.82446869744
29035,0.0,0.0,-122.14895727933735,37.74302573094044,72.8,0.0,POINT (-122.1489572793374 37.74302573094044),-31.552717996800002
29039,0.0,0.0,-122.2897945667357,37.841317844515,20.18,0.0,POINT (-122.2897945667357 37.841317844515),-8.74634408208
29040,0.0,0.0,-122.2897833324858,37.84127881179807,20.11,0.0,POINT (-122.2897833324858 37.84127881179807),-8.71600493016
29079,0.0,0.0,-122.11618225807185,37.68362885140849,48.18,0.0,POINT (-122.1161822580718 37.68362885140849),-20.882004850079998
29080,0.0,0.0,-122.11618618489024,37.683636185095146,48.18,0.0,POINT (-122.1161861848902 37.68363618509515),-20.882004850079998
29219,0.0,0.0,-122.08889994247332,37.680522354844925,97.9,0.0,POINT (-122.0888999424733 37.68052235484492),-42.431471042400005
29220,0.0,0.0,-122.0889202327097,37.6805046429954,97.9,0.0,POINT (-122.0889202327097 37.6805046429954),-42.431471042400005
29312,0.0,0.0,-122.14866429270128,37.7431930388826,73.21,0.0,POINT (-122.1486642927013 37.7431930388826),-31.730418743759998
29313,0.0,0.0,-122.14862824806885,37.74315340098974,73.21,0.0,POINT (-122.1486282480688 37.74315340098974),-31.730418743759998
29437,0.0,0.0,-122.08824702746428,37.68002384753826,99.29,0.0,POINT (-122.0882470274643 37.68002384753826),-43.03391991624
29438,0.0,0.0,-122.08792882391596,37.680349957964204,98.84,0.0,POINT (-122.087928823916 37.6803499579642),-42.83888251104
29714,0.0,0.0,-122.19936628628538,37.72564282445129,10.99,0.0,POINT (-122.1993662862854 37.72564282445129),-4.76324685144
29715,0.0,0.0,-122.19941228996115,37.725601535082276,10.99,0.0,POINT (-122.1994122899611 37.72560153508228),-4.76324685144
29770,0.0,0.0,-122.12617228194382,37.68661391489243,45.43,0.0,POINT (-122.1261722819438 37.68661391489243),-19.690109596080003
29771,0.0,0.0,-122.12610769222358,37.686613919481424,45.75,0.0,POINT (-122.1261076922236 37.68661391948142),-19.828802862
29889,0.0,0.0,-122.19936800923556,37.72555547745874,10.56,0.0,POINT (-122.1993680092356 37.72555547745874),-4.57687777536
29890,0.0,0.0,-122.19938374647691,37.72556314721419,10.99,0.0,POINT (-122.1993837464769 37.72556314721419),-4.76324685144
29917,0.0,0.0,-122.08621271989566,37.68052721975222,104.51,0.0,POINT (-122.0862127198957 37.68052721975222),-45.29635381656001
29918,0.0,0.0,-122.08622848512177,37.68051364915482,104.51,0.0,POINT (-122.0862284851218 37.68051364915482),-45.29635381656001
30061,0.0,0.0,-122.16556062938685,37.70458507527758,19.44,0.0,POINT (-122.1655606293868 37.70458507527758),-8.42561590464
30062,0.0,0.0,-122.1654993802746,37.70461054928521,19.99,0.0,POINT (-122.1654993802746 37.70461054928521),-8.66399495544
30150,0.0,0.0,-122.08729669349306,37.68138402020001,100.51,0.0,POINT (-122.0872966934931 37.68138402020001),-43.56268799256
30151,0.0,0.0,-122.08708353393429,37.68122727588987,101.77,0.0,POINT (-122.0870835339343 37.68122727588987),-44.10879272712
30189,0.0,0.0,-122.12431108926279,37.686616599749314,44.81,0.0,POINT (-122.1243110892628 37.68661659974931),-19.42139139336
30190,0.0,0.0,-122.12487272136005,37.6866153749422,44.45,0.0,POINT (-122.12487272136 37.6866153749422),-19.265361469200002
30244,0.0,0.0,-122.17037851695845,37.74628227076469,30.15,0.0,POINT (-122.1703785169585 37.74628227076469),-13.0675061484
30245,0.0,0.0,-122.17043156144399,37.74625679653814,30.15,0.0,POINT (-122.170431561444 37.74625679653814),-13.0675061484
30311,0.0,0.0,-122.1265926699482,37.68672555611922,45.87,0.0,POINT (-122.1265926699482 37.68672555611922),-19.88081283672
30312,0.0,0.0,-122.12659317141828,37.68689237347082,46.04,0.0,POINT (-122.1265931714183 37.68689237347082),-19.95449363424
30334,0.0,0.0,-122.10996001296884,37.697775372409474,44.51,0.0,POINT (-122.1099600129688 37.69777537240947),-19.29136645656
30335,0.0,0.0,-122.10985632694089,37.69785957820567,44.95,0.0,POINT (-122.1098563269409 37.69785957820567),-19.4820696972
30510,0.0,0.0,-122.17764710226956,37.72804340091665,24.76,0.0,POINT (-122.1776471022696 37.72804340091665),-10.73139145056
30511,0.0,0.0,-122.17759898768942,37.72803749864561,24.76,0.0,POINT (-122.1775989876894 37.72803749864561),-10.73139145056
30592,0.0,0.0,-122.08669883995016,37.678747315483996,103.21,0.0,POINT (-122.0866988399502 37.678747315484),-44.73291242376
30593,0.0,0.0,-122.08597131013742,37.679474369969924,105.39,7.758106234591755,POINT (-122.0859713101374 37.67947436996992),-45.67776029784
30881,0.0,0.0,-122.12743384703276,37.68661365265781,45.57,0.0,POINT (-122.1274338470328 37.68661365265781),-19.750787899920002
30888,0.0,0.0,-122.19948207973852,37.72555435162978,10.61,0.0,POINT (-122.1994820797385 37.72555435162978),-4.59854859816
30988,0.0,0.0,-122.19942755818035,37.72551307293054,10.56,0.0,POINT (-122.1994275581803 37.72551307293054),-4.57687777536
30989,0.0,0.0,-122.19943796198794,37.72551875225216,10.56,0.0,POINT (-122.1994379619879 37.72551875225216),-4.57687777536
31436,0.0,0.0,-122.13583453875536,37.67008011589365,17.55,0.0,POINT (-122.1358345387554 37.67008011589365),-7.606458802800001
31437,0.0,0.0,-122.13572579046092,37.6700910432888,18.05,0.0,POINT (-122.1357257904609 37.6700910432888),-7.8231670308
31608,0.0,0.0,-122.14789697146912,37.743453042589366,82.34,0.0,POINT (-122.1478969714691 37.74345304258937),-35.68751098704
31609,0.0,0.0,-122.14800799957432,37.743390373401596,80.59,0.0,POINT (-122.1480079995743 37.7433903734016),-34.92903218904
31731,0.0,0.0,-122.08606534225241,37.68048048291522,106.74,0.0,POINT (-122.0860653422524 37.68048048291522),-46.262872513439994
31732,0.0,0.0,-122.08579100143244,37.68027618488843,107.09,0.0,POINT (-122.0857910014324 37.68027618488843),-46.414568273040004
31769,0.0,0.0,-122.18898686580195,37.731509111313706,35.52,0.0,POINT (-122.188986865802 37.73150911131371),-15.394952517120004
