node1,leak_size
29252,4.458588015349819
29463,0.9096665332383355
29712,0.6636642302377014
29716,0.8709980693596377
30433,0.3624492099196028
31422,0.4373732440255236
30196,0.6172028851642194
31565,2.099274221662613
32422,2.779826129857245
32775,0.9457366670422085
32866,1.5014032251081586
32991,1.765325274388704
33225,1.1622576673626743
33754,1.5273317724209967
33979,0.48769474602928575
34817,0.6793445994731716
30685,0.6173103047022332
30175,1.549130363820689
37354,2.2638765801021536
37531,1.260477643056478
32215,0.8931666024609376
39074,0.6142831364018071
40238,1.0430916640907928
40655,0.41847418054518254
41051,1.420871970895643
41690,1.8102949624129514
41696,0.8519408108098386
42216,2.669856287735176
42775,0.5449609122615455
29546,0.2799134275445383
43791,0.4888546335275736
36201,1.9557985882467692
44427,0.6142452947250598
38808,0.7048870384594497
44841,0.7162650906213841
38904,0.6097296146194122
45007,0.5696213809517016
45509,1.9777787854896798
42395,1.5409642879885723
46021,1.2667744794683067
36738,0.8565877578587273
46153,0.5588450975504409
39566,0.35759686806419827
47002,0.8116437316287168
47370,1.1721542320272187
30147,0.9836528084198666
48280,1.196271402246844
39973,0.9318847692843356
48588,0.945942198041144
32885,0.8591022626400356
40311,0.3810344640956813
49547,1.9921453888857177
45960,0.5968214412303265
50003,0.5710773373281248
31157,1.37383603900177
44537,0.5136084434384167
30024,1.290812587467119
30001,2.3173403344559675
47106,1.2767409798893428
51189,0.6146534601799696
33502,0.8208493507494629
42687,1.3906367692702113
51474,0.43417560767995583
44717,1.388788532324126
51722,0.8213647203182108
51914,0.40476855176203164
51473,1.4897685465609594
35798,0.2235287841509962
47937,0.6705164969413913
31182,1.035909739719768
50870,1.3948510470990243
36077,0.7729296059022326
50528,0.6435183981961412
29496,0.8939519940008372
52352,1.138203812348237
48198,1.0345148905717736
47989,0.7055869430012436
46154,1.9494842823020457
31125,1.7850847903393152
37414,0.5322213428939937
52905,1.156899750100123
53402,1.337952402847438
54490,1.2605748872190552
55743,1.1431319948995995
57765,0.5451611534282046
59295,4.791747177380436
55745,1.2169575147735694
61170,2.491000846767084
