OBJECTID,FAC_GN,FAC_NM,FAC_ADDR_T,STRCT_NU,PRSZ_CD,PRSZ_DESC_,PRSZ_HILL_,PRSZ_SRC_C,PRSZ_SRC_D,PLNG_PRSZ_,PLNG_PRSZ1,FUND_CD,FAC_SITE_G,FAC_ALT_CD,CITY_CD,CNTY_CD,ZIP_NU,FAC_DIRCTN,RTU_NM,OPS_LOOP_N,FAC_TYPE_N,FAC_TYPE_A,MAP_EAST_N,MAP_NORTH_,FAC_STAT_C,FAC_FAC_ST,FAC_FAC__1,FAC_PRINT_,FAC_FULL_P,FAC_LOC_TX,FAC_TEMP_F,FAC_STBY_F,FAC_STAFFE,WTR_TYPE_C,FAC_ABBRV_,MAINT_AREA,FAC_NAD83_,FAC_NAD831,STRCT_NM,geometry
154,174,Round Hill Reservoir,East Gnarled Oak Dr,1911.0,F7D,Round Hill,E,,,,,WSG,0.0,,AMO,CC,,,WA59,861.0,DISTRIBUTION RESERVOIR,DRES,1569,498,IS,1981-01-01,,Round Hill Reservoir,Round Hill Reservoir (DRES),,N,N,N,P,Round Hill,1.0,6131123.0,2138634.0,Round Hill Reservoir,POINT (-121.9914052166263 37.85888637491722)
157,167,Rheem Reservoir,201 Rheem Blvd (opp Zander),1705.0,D7A,Baseline,E,,,,,WSG,0.0,,LAF,CC,,,OA49,583.0,DISTRIBUTION RESERVOIR,DRES,1524,502,IS,1996-08-23,,Rheem Reservoir,Rheem Reservoir (DRES),,N,N,N,P,Rheem,1.0,6086925.0,2142959.0,Rheem Reservoir,POINT (-122.1447418458477 37.86873064516669)
164,190,Sobrante Clearwell,Sobrante C,505.0,G0A,Central,W,,,,,WSG,30.0,,ELS,CC,,,SP01,159.0,DISTRIBUTION RESERVOIR,DRES,1485,538,IS,2006-04-01,,Sobrante Clearwell,Sobrante Clearwell (DRES),,N,N,N,P,Sobrante CW,1.0,6048267.0,2178527.0,Sobrante WTP,POINT (-122.2809854134122 37.9644514928397)
75,52,Bacon Reservoir,N/o End Bacon Ct,581.0,E5B,Brookwood,E,,,,,WSG,0.0,,LAF,CC,,,WA44,685.0,DISTRIBUTION RESERVOIR,DRES,1542,516,IS,2004-03-19,,Bacon Reservoir,Bacon Reservoir (DRES),,N,N,N,P,Bacon,1.0,6103517.0,2157237.0,Bacon Reservoir,POINT (-122.0881084544938 37.90872218107532)
77,209,Valley View Reservoir,E/s Happy Valley Rd (1 mi NW/o Upper Happy Valley Rd),564.0,D9C,Valley View,E,,,,,WSG,0.0,,LAF,CC,,,OA47,645.0,DISTRIBUTION RESERVOIR,DRES,1521,518,IS,2002-04-24,,Valley View Reservoir,Valley View Reservoir (DRES),,N,N,N,P,Valley View,1.0,6082648.0,2159273.0,Valley View Reservoir,POINT (-122.1605586633731 37.91331896320536)
78,376,Nicholl Knob Reservoir,"At the end of Crest Avenue, enter through EBRP Gate # 61-3.",1941.0,A1B,Nicholl Knob,W,,,,,WSG,0.0,,RCH,CC,,,SA52,173.0,DISTRIBUTION RESERVOIR,DRES,1455,522,IS,1997-09-17,,Nicholl Knob Reservoir,Nicholl Knob Reservoir (DRES),,N,N,N,P,Nicholl Knob,2.0,6018853.0,2163123.0,Nicholl Knob Res,POINT (-122.3819219858027 37.92057716806879)
80,187,Skyline Reservoir,N/o Skyline Bl 1000' E/o Castle Dr,965.0,B13A,Skyline,W,,,,,WSG,0.0,,OAK,AL,,,UA62,496.0,DISTRIBUTION RESERVOIR,DRES,1512,484,IS,2000-05-11,,Skyline Reservoir,Skyline Reservoir (DRES),,N,N,N,P,Skyline,2.0,6075044.0,2125533.0,Skyline Reservoir,POINT (-122.1848090974657 37.82030154127101)
86,141,Montclair Reservoir,1883 Drake Dr,758.0,B7A,Joaquin Miller,W,,,,,WSG,0.0,,OAK,AL,,,UA05,399.0,DISTRIBUTION RESERVOIR,DRES,1506,488,IS,1937-01-01,,Montclair Reservoir,Montclair Reservoir (DRES),,N,N,N,P,Montclair,2.0,6069134.0,2129262.0,Montclair Reservoir,POINT (-122.2055017857078 37.83024710569485)
179,96,Echo Springs Reservoir,End Echo Springs off Reliez Val Rds,991.0,E7B,Echo Springs,E,,,,,WSG,0.0,,LAF,CC,,,WA52,693.0,DISTRIBUTION RESERVOIR,DRES,1533,522,IS,2005-03-09,,Echo Springs Reservoir,Echo Springs Reservoir (DRES),,N,N,N,P,Echo Springs,1.0,6095026.0,2164297.0,Echo Springs Tank,POINT (-122.1179584873303 37.92770881482045)
186,87,Cull Creek Reservoir,Cull Canyon Rd N/o High School,990.0,C2A,Almond,W,,,,,WSG,0.0,,CV,AL,,,UA47,449.0,DISTRIBUTION RESERVOIR,DRES,1551,442,TRS,2007-09-19,,Cull Creek Reservoir,Cull Creek Reservoir (DRES),,N,N,N,P,Cull Creek,2.0,6112637.0,2084026.0,Cull Creek Reservoir,POINT (-122.0522944191699 37.70811093189849)
