OBJECTID,FAC_GN,FAC_NM,FAC_ADDR_T,STRCT_NU,PRSZ_CD,PRSZ_DESC_,PRSZ_HILL_,PRSZ_SRC_C,PRSZ_SRC_D,PLNG_PRSZ_,PLNG_PRSZ1,FUND_CD,FAC_SITE_G,FAC_ALT_CD,CITY_CD,CNTY_CD,ZIP_NU,FAC_DIRCTN,RTU_NM,OPS_LOOP_N,FAC_TYPE_N,FAC_TYPE_A,MAP_EAST_N,MAP_NORTH_,FAC_STAT_C,FAC_FAC_ST,FAC_FAC__1,FAC_PRINT_,FAC_FULL_P,FAC_LOC_TX,FAC_TEMP_F,FAC_STBY_F,FAC_STAFFE,WTR_TYPE_C,FAC_ABBRV_,MAINT_AREA,FAC_NAD83_,FAC_NAD831,STRCT_NM,geometry
189,1896,Upland Regulator,N/o Upland Rd at Aurelia Way,2028.0,C2C,Upland Regulator,W,C4A,Proctor,,,WSG,0.0,,SL,AL,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1530,446,IS,2002-11-01,,Upland Regulator REG,Upland Regulator (REG),,N,N,,P,Upland,2.0,6091923.0,2087414.0,Upland Regulator,POINT (-122.1240923681772 37.71644961585132)
219,827,Aqueduct-Summit Throttling Valve,300 Berkeley Park Blvd,0.0,G1AA,Aqueduct,W,A5A,Summit,,,WSG,29.0,,KEN,CC,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1482,514,IS,1990-12-12,,Aqueduct-Summit Throttling Valve TV,Aqueduct-Summit Throttling Valve (TV),w/Summit-West PP,N,N,N,P,Aqueduct-Summit,2.0,6046267.0,2154607.0,,POINT (-122.2863390460284 37.89866889312432)
221,472,Knight Regulator,1177 Brown Ave,1187.0,E7AA,Knight Regulator,E,E9A,Hink,,,WSG,0.0,,LAF,CC,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1533,514,IS,1990-01-01,,Knight Regulator REG,Knight Regulator (REG),,N,N,N,P,Knight,1.0,6096814.0,2155163.0,Knight Regulator,POINT (-122.1112153682794 37.90271295110706)
224,507,Sequoia Rate Control Station,Bancroft Ave (100' N/o 98th Ave),1190.0,G0A,Central,W,G1AA,Aqueduct,,,WSG,0.0,,OAK,AL,,,UA40,103.0,DISTRIBUTION FLOW CONTROL,DFC,1518,458,IS,2006-09-30,,Sequoia Rate Control Station RCS,Sequoia Rate Control Station (RCS),,N,N,N,P,Sequoia,2.0,6081185.0,2099341.0,Sequoia RC,POINT (-122.1619425247118 37.74868269835363)
206,484,Montalvin Regulator,E/s at 83 Heather Dr,1110.0,A0AA,Montalvin Regulator,W,A0A,Maloney,,,WSG,0.0,,RCH,CC,,N,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1473,550,SB,1990-01-01,,Montalvin Regulator REG (SB),Montalvin Regulator (REG) (SB),,N,N,N,P,Montalvin,1.0,6034397.0,2190407.0,Montalvin Regulator,POINT (-122.3298937774873 37.99633600953455)
167,459,Genoa No. 1 Rate Control Station,N/s at 836 59th St,1105.0,G0A,Central,W,G1AA,Aqueduct,,,WSG,0.0,,OAK,AL,,,OA23,109.0,DISTRIBUTION FLOW CONTROL,DFC,1488,494,IS,2006-03-28,,Genoa No. 1 Rate Control Station RCS,Genoa No. 1 Rate Control Station (RCS),,N,N,N,P,Genoa No. 1,2.0,6050044.0,2134678.0,Genoa RC,POINT (-122.2719446330834 37.84414535985095)
171,830,Caldecott Regulator,S/s at 5828 Skyline Blvd,1309.0,A9B,Strathmoor,W,B11A,Pinehaven,,,WSG,0.0,,OAK,AL,,,SA64,273.0,DISTRIBUTION FLOW CONTROL,DFC,1503,496,IS,1994-11-23,,Caldecott Regulator REG,Caldecott Regulator (REG),,N,N,N,P,Caldecott,2.0,6067124.0,2137837.0,Caldecott Regulator Replacement,POINT (-122.2130034283434 37.85369189182842)
258,505,Saturn Regulator,E/s at 1188 Estates Dr,1313.0,D9C,Valley View,E,D7BA,Saturn Regulator,,,WSG,0.0,,OR,CC,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1521,514,IS,1990-01-01,,Saturn Regulator REG,Saturn Regulator (REG),,N,N,N,P,Saturn,1.0,6083188.0,2154716.0,Saturn Regulator,POINT (-122.1584073564006 37.90083252884062)
260,430,Arlington Regulator (FORMER),E/s Coventry Rd @ Arlington Blvd,29.0,A4BB,Arlington Regulator,W,A5A,Summit,,,WSG,0.0,,KEN,CC,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1485,516,IS,1990-01-01,,Arlington Regulator (FORMER) REG,Arlington Regulator (FORMER) (REG),,N,N,N,P,Arlington,2.0,6048607.0,2156467.0,Arlington Regulator,POINT (-122.2783531632321 37.90389828159372)
265,1714,Oakmont Memorial Park Regulator,"2099 Reliez Valley Rd, west dise, at intersection with Grayson",0.0,H1A,Leland,E,E3A,Colorados,,,WSG,0.0,,PH,CC,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1539,530,SB,2000-06-23,,Oakmont Memorial Park Regulator REG (Temp) (SB),Oakmont Memorial Park Regulator (REG) (Temp) (SB),,Y,N,,P,Oakmont Memorial Park,1.0,6100717.0,2171512.0,,POINT (-122.0986571297361 37.94778828473651)
